time,open,high,low,close,date,time_str
1738824740000,1738824742462,1738824744107,1738824742462,1738824744107,2025-02-06,06:52:20.000Z
1738824745000,1738824745252,1738824745252,1738824745252,1738824745252,2025-02-06,06:52:25.000Z
1738824745000,1738824746669,1738824749713,1738824746669,1738824749713,2025-02-06,06:52:25.000Z
1738824750000,1738824750726,1738824750726,1738824750726,1738824750726,2025-02-06,06:52:30.000Z
1738824750000,1738824752132,1738824754486,1738824752132,1738824754486,2025-02-06,06:52:30.000Z
1738824755000,1738824755619,1738824755619,1738824755619,1738824755619,2025-02-06,06:52:35.000Z
1738824755000,1738824756633,1738824759710,1738824756633,1738824759710,2025-02-06,06:52:35.000Z
1738824760000,1738824762289,1738824764623,1738824762289,1738824764623,2025-02-06,06:52:40.000Z
1738824765000,1738824766132,1738824769962,1738824766132,1738824769962,2025-02-06,06:52:45.000Z
1738824770000,1738824771843,1738824774109,1738824771843,1738824774109,2025-02-06,06:52:50.000Z
1738824775000,1738824776371,1738824779752,1738824776371,1738824779752,2025-02-06,06:52:55.000Z
1738824780000,1738824780996,1738824780996,1738824780996,1738824780996,2025-02-06,06:53:00.000Z
1738824780000,1738824782040,1738824784613,1738824782040,1738824784613,2025-02-06,06:53:00.000Z
1738824785000,1738824785875,1738824785875,1738824785875,1738824785875,2025-02-06,06:53:05.000Z
1738824785000,1738824786890,1738824789927,1738824786890,1738824789927,2025-02-06,06:53:05.000Z
1738824790000,1738824790936,1738824790936,1738824790936,1738824790936,2025-02-06,06:53:10.000Z
1738824790000,1738824791988,1738824794019,1738824791988,1738824794019,2025-02-06,06:53:10.000Z
1738824795000,1738824796684,1738824797704,1738824796684,1738824797704,2025-02-06,06:53:15.000Z
1738824800000,1738824800373,1738824800373,1738824800373,1738824800373,2025-02-06,06:53:20.000Z
1738824800000,1738824802369,1738824802369,1738824802369,1738824802369,2025-02-06,06:53:20.000Z
1738824805000,1738824805748,1738824805748,1738824805748,1738824805748,2025-02-06,06:53:25.000Z
1738824805000,1738824807617,1738824808869,1738824807617,1738824808869,2025-02-06,06:53:25.000Z
1738824810000,1738824812235,1738824813991,1738824812235,1738824813991,2025-02-06,06:53:30.000Z
1738824815000,1738824815445,1738824815445,1738824815445,1738824815445,2025-02-06,06:53:35.000Z
1738824815000,1738824818985,1738824819998,1738824818985,1738824819998,2025-02-06,06:53:35.000Z
1738824820000,1738824821015,1738824824083,1738824821015,1738824824083,2025-02-06,06:53:40.000Z
1738824825000,1738824825408,1738824825408,1738824825408,1738824825408,2025-02-06,06:53:45.000Z
1738824825000,1738824828009,1738824829532,1738824828009,1738824829532,2025-02-06,06:53:45.000Z
1738824830000,1738824830547,1738824830547,1738824830547,1738824830547,2025-02-06,06:53:50.000Z
1738824830000,1738824832128,1738824833960,1738824832128,1738824833960,2025-02-06,06:53:50.000Z
1738824835000,1738824835827,1738824835827,1738824835827,1738824835827,2025-02-06,06:53:55.000Z
1738824835000,1738824836843,1738824839893,1738824836843,1738824839893,2025-02-06,06:53:55.000Z
1738824840000,1738824840899,1738824840899,1738824840899,1738824840899,2025-02-06,06:54:00.000Z
1738824840000,1738824841923,1738824844976,1738824841923,1738824844976,2025-02-06,06:54:00.000Z
1738824845000,1738824846353,1738824849042,1738824846353,1738824849042,2025-02-06,06:54:05.000Z
1738824850000,1738824850243,1738824850243,1738824850243,1738824850243,2025-02-06,06:54:10.000Z
1738824850000,1738824851275,1738824854902,1738824851275,1738824854902,2025-02-06,06:54:10.000Z
1738824855000,1738824856232,1738824859914,1738824856232,1738824859914,2025-02-06,06:54:15.000Z
1738824860000,1738824861111,1738824863894,1738824861111,1738824863894,2025-02-06,06:54:20.000Z
1738824865000,1738824865347,1738824865347,1738824865347,1738824865347,2025-02-06,06:54:25.000Z
1738824865000,1738824867339,1738824869853,1738824867339,1738824869853,2025-02-06,06:54:25.000Z
1738824870000,1738824871132,1738824874997,1738824871132,1738824874997,2025-02-06,06:54:30.000Z
1738824875000,1738824876323,1738824879218,1738824876323,1738824879218,2025-02-06,06:54:35.000Z
1738824880000,1738824880341,1738824880341,1738824880341,1738824880341,2025-02-06,06:54:40.000Z
1738824880000,1738824882646,1738824884874,1738824882646,1738824884874,2025-02-06,06:54:40.000Z
1738824885000,1738824886882,1738824889916,1738824886882,1738824889916,2025-02-06,06:54:45.000Z
1738824890000,1738824891175,1738824893389,1738824891175,1738824893389,2025-02-06,06:54:50.000Z
1738824895000,1738824895117,1738824895117,1738824895117,1738824895117,2025-02-06,06:54:55.000Z
1738824895000,1738824896782,1738824899479,1738824896782,1738824899479,2025-02-06,06:54:55.000Z
1738824900000,1738824900663,1738824900663,1738824900663,1738824900663,2025-02-06,06:55:00.000Z
1738824900000,1738824903221,1738824904885,1738824903221,1738824904885,2025-02-06,06:55:00.000Z
